video_url,precision_nlp,recall_nlp,f1_nlp,precision_ai,recall_ai,f1_ai
https://www.youtube.com/watch?v=dm5aNKQa60E,0.5,0.06,0.11,0.0,0.0,0.0
https://www.youtube.com/watch?v=Ds-ePmDbJ5o,0.5,0.14,0.22,0.75,0.21,0.33
https://www.youtube.com/watch?v=F_TEL8SOXRw,0.14,0.07,0.09,0.14,0.07,0.09
https://www.youtube.com/watch?v=onR3mhFJYfM,0.83,0.45,0.59,0.83,0.45,0.59
https://www.youtube.com/watch?v=fJBzQ6P7SrE,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=hmZP2r7uxTo,1.0,0.44,0.62,0.75,0.33,0.46
https://www.youtube.com/watch?v=leW9ZotUVYo,0.17,0.18,0.17,0.17,0.18,0.17
https://www.youtube.com/watch?v=a25oqnFrXGM,0.07,0.04,0.05,0.07,0.04,0.05
https://www.youtube.com/watch?v=NH4mvcD6DpE,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=40vDnmTMaB0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=wBZxya7QWJY,0.3,0.19,0.23,0.7,0.44,0.54
https://www.youtube.com/watch?v=62065uftrR0,0.29,0.12,0.17,0.29,0.12,0.17
https://www.youtube.com/watch?v=v3b4a2l3_4s,0.4,0.17,0.24,0.4,0.17,0.24
https://www.youtube.com/watch?v=bISycdg7Pwo,0.0,0.0,0.0,1.0,0.06,0.11
https://www.youtube.com/watch?v=ErP8VJ7UuNc,0.44,0.31,0.36,0.33,0.23,0.27
https://www.youtube.com/watch?v=0V6Eh8U-xqA,0.2,0.07,0.11,0.2,0.07,0.11
https://www.youtube.com/watch?v=2-lXx8_3GuY,0.82,0.82,0.82,0.73,0.73,0.73
https://www.youtube.com/watch?v=RYRrEBcTuHs,1.0,0.1,0.18,1.0,0.1,0.18
https://www.youtube.com/watch?v=tA0kGbeEIAU,0.21,0.19,0.2,0.36,0.31,0.33
https://www.youtube.com/watch?v=LTq7AXQ-IhA,0.86,0.67,0.75,0.71,0.56,0.62
https://www.youtube.com/watch?v=HY5B2Gl9Hy8,0.88,0.54,0.67,0.75,0.46,0.57
https://www.youtube.com/watch?v=6yMpBxRCt2g,0.4,0.13,0.2,0.4,0.13,0.2
https://www.youtube.com/watch?v=reM7H3yzj8Y,0.0,0.0,0.0,0.0,0.0,0.0
https://www.youtube.com/watch?v=o0bVM4qV5M8,0.44,0.24,0.31,0.56,0.29,0.38
https://www.youtube.com/watch?v=b9Fm0o_FTGk,0.25,0.09,0.13,0.0,0.0,0.0
https://www.youtube.com/watch?v=NPUsEWnttBA,0.0,0.0,0.0,0.0,0.0,0.0
